"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"98",98,98,"Tim Walberg","House"," R","MI","7",1,0.17,0.952,0.048
"99",99,99,"Stevan Pearce","House"," R","NM","2",0.939,0.102,0.892,0.048
"100",100,100,"Adam Kinzinger","House"," R","IL","16",1,0.172,0.953,0.047
"101",101,101,"Bill Huizenga","House"," R","MI","2",1,0.176,0.955,0.045
"102",102,102,"Bill Flores","House"," R","TX","17",1,0.175,0.955,0.045
"103",103,103,"Joe Wilson","House"," R","SC","2",1,0.177,0.955,0.045
"104",104,104,"Lynn Jenkins","House"," R","KS","2",1,0.184,0.957,0.043
"105",105,105,"Steve Russell","House"," R","OK","5",0.969,0.134,0.926,0.042
"106",106,106,"Gerald E. Connolly","House"," D","VA","11",0.182,-0.394,0.14,0.042
"107",107,107,"Lucille Roybal-Allard","House"," D","CA","40",0.152,-0.694,0.11,0.042
"108",108,108,"Tom Rice","House"," R","SC","7",1,0.189,0.961,0.039
"109",109,109,"Chris Stewart","House"," R","UT","2",0.967,0.14,0.929,0.038
"110",110,110,"Doug LaMalfa","House"," R","CA","1",1,0.197,0.963,0.037
"111",111,111,"Thomas A. Garrett Jr.","House"," R","VA","5",0.939,0.111,0.903,0.037
"112",112,112,"Tim Murphy","House"," R","PA","18",1,0.196,0.963,0.037
"113",113,113,"Brenda L. Lawrence","House"," D","MI","14",0.156,-0.609,0.12,0.036
"114",114,114,"Scott H. Peters","House"," D","CA","52",0.242,-0.225,0.206,0.036
"115",115,115,"Robert A. Brady","House"," D","PA","1",0.152,-0.613,0.116,0.036
"116",116,116,"Greg Walden","House"," R","OR","2",1,0.201,0.965,0.035
"117",117,117,"Wm. Lacy Clay","House"," D","MO","1",0.156,-0.582,0.122,0.034
"118",118,118,"David P. Joyce","House"," R","OH","14",0.939,0.115,0.907,0.032
"119",119,119,"Roger Williams","House"," R","TX","25",0.97,0.149,0.938,0.031
"120",120,120,"Jack Bergman","House"," R","MI","1",1,0.213,0.969,0.031
"121",121,121,"Duncan Hunter","House"," R","CA","50",0.97,0.15,0.939,0.03
"122",122,122,"Mark Walker","House"," R","NC","6",0.964,0.147,0.934,0.03
"123",123,123,"Grace Meng","House"," D","NY","6",0.188,-0.33,0.158,0.03
"124",124,124,"Donald S. Beyer Jr.","House"," D","VA","8",0.161,-0.526,0.132,0.03
"125",125,125,"Kevin McCarthy","House"," R","CA","23",1,0.22,0.971,0.029
"126",126,126,"Jackie Walorski","House"," R","IN","2",1,0.232,0.973,0.027
"127",127,127,"Tulsi Gabbard","House"," D","HI","2",0.188,-0.318,0.161,0.026
"128",128,128,"Lou Barletta","House"," R","PA","11",1,0.238,0.974,0.026
"129",129,129,"Chris Collins","House"," R","NY","27",1,0.245,0.975,0.025
